2020-05-11 14:23:52.496 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-05-11 14:27:30.097 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 3625 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-05-11 14:27:30.111 [restartedMain] INFO  program.tiger.sword.BootStrap - No active profile set, falling back to default profiles: default
2020-05-11 14:27:30.367 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-11 14:27:30.369 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-05-11 14:27:33.442 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-05-11 14:33:44.395 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 3675 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-05-11 14:33:44.407 [restartedMain] INFO  program.tiger.sword.BootStrap - No active profile set, falling back to default profiles: default
2020-05-11 14:33:44.624 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-11 14:33:44.625 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-05-11 14:33:46.691 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-05-11 14:38:37.234 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 3692 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-05-11 14:38:37.256 [restartedMain] INFO  program.tiger.sword.BootStrap - No active profile set, falling back to default profiles: default
2020-05-11 14:38:37.450 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-05-11 14:38:37.451 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-05-11 14:38:40.206 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
